Age,Gender,City_Size,Marital_Status,Children,Country_of_Origin,Occupation,Education,Income,Hobbies,Personality_Type,Event_Preference
29,Female,Small,Married,Yes,France,Chef,Bachelor,2927,"Gaming, Reading",Introvert,Educational
33,Male,Medium,Single,No,Spain,Manager,Secondary,4127,"Gaming, Reading",Ambivert,Educational
42,Female,Small,Single,No,Nigeria,Artist,Master,3322,"Dancing, Photography",Ambivert,Entertainment
58,Female,Small,Single,No,Brazil,Chef,Secondary,1505,"Reading, Photography, Gaming, Sports",Extrovert,Educational
36,Female,Small,Single,Yes,Japan,Artist,Bachelor,1622,"Gardening, Cooking, Sports, Reading",Ambivert,Educational
41,Female,Medium,Single,No,Brazil,Doctor,Bachelor,1543,"Sports, Gardening",Introvert,Educational
19,Female,Small,Single,No,Brazil,Chef,Secondary,3790,"Cooking, Reading, Photography, Gardening",Introvert,Educational
23,Female,Small,Single,Yes,Japan,Artist,Secondary,5677,"Art, Photography, Gardening, Reading",Extrovert,Educational
20,Female,Small,Single,Yes,United States,Designer,Primary,4835,"Traveling, Reading, Music, Photography",Ambivert,Educational
21,Female,Large,Married,No,Poland,Designer,Primary,925,"Cooking, Art",Introvert,Entertainment
59,Male,Small,Married,No,Spain,Engineer,Secondary,4905,"Traveling, Sports",Ambivert,Educational
58,Female,Small,Married,No,Brazil,Engineer,Secondary,4324,"Gardening, Sports",Introvert,Educational
57,Male,Large,Single,No,Poland,Unemployed,Secondary,1346,"Reading, Music",Introvert,Entertainment
20,Male,Large,Divorced,Yes,United States,Engineer,Bachelor,2836,"Music, Traveling",Extrovert,Entertainment
21,Male,Small,Divorced,Yes,Japan,Artist,Bachelor,4515,"Photography, Sports, Traveling",Ambivert,Educational
31,Male,Small,Divorced,No,Brazil,Chef,Secondary,3861,"Cooking, Sports, Gardening",Introvert,Entertainment
45,Male,Small,Single,No,Poland,Doctor,Bachelor,1629,"Gaming, Dancing, Music",Extrovert,Entertainment
34,Female,Medium,Single,No,Japan,Sales,Secondary,3933,"Photography, Music, Art",Extrovert,Entertainment
41,Male,Small,Married,No,Canada,Doctor,PhD,635,"Traveling, Sports, Reading, Cooking",Extrovert,Educational
26,Female,Large,Single,No,France,Developer,Primary,2933,"Music, Sports, Photography, Dancing",Ambivert,Entertainment
53,Female,Large,Single,No,Poland,Designer,Secondary,4566,"Dancing, Music",Extrovert,Entertainment
33,Male,Medium,Single,No,Brazil,Teacher,Master,3222,"Gardening, Reading, Gaming",Introvert,Educational
21,Male,Small,Married,No,Japan,Artist,Secondary,2601,"Traveling, Gardening",Extrovert,Entertainment
53,Female,Large,Married,Yes,France,Sales,Secondary,4267,"Reading, Photography, Cooking, Traveling",Ambivert,Educational
61,Male,Medium,Single,Yes,Brazil,Chef,Master,4370,"Sports, Photography, Reading, Dancing",Introvert,Educational
18,Male,Large,Divorced,No,India,Sales,Bachelor,4772,"Dancing, Gardening, Music, Art",Introvert,Entertainment
38,Female,Small,Married,No,Brazil,Designer,Bachelor,4249,"Reading, Gardening, Traveling",Introvert,Educational
57,Male,Medium,Single,Yes,India,Manager,Primary,4498,"Gaming, Gardening, Traveling",Extrovert,Entertainment
51,Male,Large,Single,No,Poland,Doctor,Secondary,4079,"Gaming, Cooking",Extrovert,Entertainment
59,Male,Large,Single,Yes,Germany,Student,Secondary,3519,"Gaming, Music",Introvert,Entertainment
37,Male,Medium,Divorced,No,Brazil,Chef,Master,3307,"Art, Sports, Cooking",Extrovert,Educational
35,Male,Medium,Married,Yes,Germany,Engineer,Secondary,2915,"Cooking, Gardening, Dancing, Traveling",Extrovert,Entertainment
52,Female,Medium,Married,No,Canada,Artist,Bachelor,1745,"Cooking, Music, Reading",Introvert,Educational
25,Male,Medium,Married,Yes,Japan,Manager,Master,2054,"Gardening, Traveling, Cooking",Ambivert,Educational
29,Female,Large,Single,No,United States,Engineer,PhD,2862,"Gardening, Traveling, Reading",Introvert,Educational
46,Male,Medium,Divorced,Yes,India,Unemployed,Secondary,3490,"Cooking, Gardening, Reading",Introvert,Educational
50,Female,Small,Divorced,No,Canada,Doctor,Bachelor,4929,"Gaming, Gardening, Traveling",Ambivert,Educational
23,Male,Small,Married,No,Spain,Teacher,Bachelor,3150,"Dancing, Gardening, Traveling, Cooking",Extrovert,Entertainment
42,Male,Medium,Married,Yes,Brazil,Artist,Master,4404,"Music, Sports",Introvert,Educational
35,Female,Large,Single,No,United States,Student,Master,4495,"Music, Sports, Traveling, Cooking",Ambivert,Entertainment
42,Male,Small,Single,No,India,Teacher,Bachelor,2922,"Art, Dancing, Sports",Ambivert,Educational
64,Female,Medium,Single,No,France,Manager,Bachelor,3914,"Photography, Reading, Gardening, Cooking",Ambivert,Educational
21,Female,Large,Married,Yes,France,Designer,Secondary,2908,"Music, Gaming, Cooking, Gardening",Extrovert,Entertainment
65,Female,Medium,Married,Yes,India,Doctor,Bachelor,4787,"Traveling, Sports, Cooking",Ambivert,Educational
39,Male,Small,Divorced,No,Nigeria,Engineer,Bachelor,3963,"Art, Music, Cooking, Dancing",Extrovert,Entertainment
55,Female,Medium,Single,Yes,Poland,Doctor,Bachelor,1771,"Gardening, Sports, Reading",Ambivert,Educational
38,Male,Medium,Single,Yes,Japan,Teacher,Bachelor,3394,"Gaming, Cooking",Introvert,Educational
32,Male,Small,Single,Yes,India,Artist,Bachelor,5178,"Gardening, Photography",Ambivert,Educational
54,Female,Medium,Widowed,No,Poland,Student,Bachelor,2983,"Cooking, Traveling, Dancing",Ambivert,Entertainment
51,Female,Medium,Married,No,Japan,Student,PhD,3737,"Art, Gaming, Photography",Ambivert,Educational
24,Female,Medium,Married,No,Canada,Developer,Secondary,3855,"Art, Photography, Reading",Introvert,Educational
51,Female,Medium,Married,No,Nigeria,Student,Master,1956,"Dancing, Reading, Music, Photography",Introvert,Educational
54,Male,Small,Married,No,Poland,Engineer,Bachelor,3813,"Sports, Dancing, Reading",Extrovert,Entertainment
36,Female,Small,Single,Yes,Canada,Developer,Bachelor,1527,"Reading, Traveling, Music",Extrovert,Educational
62,Female,Small,Single,Yes,France,Manager,Bachelor,2449,"Gardening, Photography",Ambivert,Educational
48,Male,Small,Single,Yes,United States,Doctor,Bachelor,4491,"Sports, Reading",Extrovert,Educational
34,Male,Medium,Single,No,Germany,Developer,Master,3628,"Traveling, Reading",Extrovert,Educational
18,Male,Small,Married,No,Japan,Sales,Secondary,2835,"Dancing, Art",Introvert,Entertainment
50,Male,Medium,Single,Yes,Poland,Chef,Master,3736,"Art, Reading, Cooking",Ambivert,Educational
28,Male,Small,Married,No,India,Manager,Master,3128,"Gardening, Music, Reading",Introvert,Educational
54,Male,Small,Married,Yes,Spain,Manager,Secondary,3215,"Sports, Reading, Dancing, Cooking",Extrovert,Entertainment
43,Female,Small,Married,No,Nigeria,Teacher,Primary,3988,"Gaming, Gardening",Introvert,Educational
40,Female,Medium,Divorced,No,France,Sales,Secondary,2327,"Reading, Traveling, Dancing",Extrovert,Entertainment
25,Female,Medium,Single,Yes,Brazil,Engineer,Secondary,3248,"Music, Photography, Gaming, Sports",Introvert,Entertainment
52,Male,Large,Married,Yes,Germany,Developer,Secondary,2825,"Dancing, Cooking, Sports, Gardening",Ambivert,Entertainment
25,Male,Small,Single,No,Poland,Manager,Secondary,1297,"Dancing, Art, Photography, Gaming",Extrovert,Entertainment
38,Male,Medium,Married,Yes,Spain,Artist,PhD,2095,"Dancing, Traveling",Introvert,Educational
58,Male,Large,Married,No,Canada,Manager,Bachelor,5082,"Photography, Sports, Cooking",Extrovert,Entertainment
62,Female,Medium,Single,No,Poland,Unemployed,Master,3662,"Photography, Cooking, Traveling",Introvert,Educational
65,Male,Small,Single,No,Spain,Designer,Bachelor,1612,"Reading, Gaming, Music, Photography",Ambivert,Educational
63,Female,Small,Married,Yes,Brazil,Unemployed,Bachelor,1352,"Music, Dancing",Ambivert,Entertainment
44,Male,Small,Married,Yes,Canada,Manager,Master,3065,"Gaming, Dancing, Traveling, Art",Introvert,Entertainment
27,Female,Large,Married,No,Spain,Manager,Secondary,5073,"Music, Reading, Photography",Ambivert,Entertainment
58,Female,Medium,Single,Yes,Germany,Engineer,Bachelor,2976,"Dancing, Photography",Ambivert,Educational
56,Male,Medium,Married,Yes,Brazil,Designer,Master,4768,"Sports, Music, Reading",Ambivert,Educational
65,Male,Large,Married,No,United States,Engineer,Master,3622,"Art, Music, Photography",Ambivert,Educational
49,Male,Medium,Single,No,Poland,Student,Bachelor,3766,"Dancing, Art, Traveling",Ambivert,Entertainment
24,Male,Medium,Married,No,Canada,Designer,Master,1597,"Reading, Photography, Music",Introvert,Educational
42,Female,Small,Married,No,France,Sales,Bachelor,4325,"Reading, Music, Art",Introvert,Educational
39,Male,Medium,Married,Yes,Japan,Designer,Secondary,2798,"Cooking, Sports, Photography",Extrovert,Educational
58,Male,Small,Single,Yes,United States,Student,Secondary,4236,"Cooking, Art, Reading, Sports",Ambivert,Educational
36,Male,Small,Single,No,Brazil,Doctor,Bachelor,2223,"Gaming, Traveling, Gardening, Music",Introvert,Entertainment
33,Female,Small,Widowed,No,Canada,Chef,Secondary,3412,"Dancing, Cooking, Music, Sports",Introvert,Entertainment
21,Female,Medium,Divorced,No,France,Unemployed,Primary,3622,"Music, Reading, Gardening",Extrovert,Entertainment
58,Male,Medium,Single,No,Nigeria,Developer,Secondary,3015,"Gaming, Cooking, Sports, Music",Ambivert,Entertainment
54,Female,Medium,Divorced,No,Germany,Designer,Master,3685,"Cooking, Dancing, Reading, Sports",Introvert,Educational
19,Male,Small,Single,No,France,Sales,Master,2880,"Photography, Reading, Sports, Gardening",Extrovert,Educational
38,Male,Large,Divorced,No,Spain,Doctor,Master,2421,"Gardening, Cooking, Dancing, Art",Extrovert,Entertainment
41,Male,Small,Single,No,France,Student,Bachelor,5127,"Music, Art, Gaming, Reading",Extrovert,Educational
40,Male,Large,Single,No,Brazil,Artist,Master,4459,"Traveling, Dancing",Ambivert,Entertainment
62,Female,Medium,Widowed,No,Japan,Manager,Bachelor,2287,"Reading, Gardening, Photography, Gaming",Ambivert,Educational
25,Female,Medium,Single,No,United States,Student,Bachelor,3882,"Reading, Dancing, Gaming, Sports",Introvert,Educational
32,Male,Medium,Married,No,France,Engineer,Bachelor,2309,"Music, Dancing, Gardening, Sports",Ambivert,Entertainment
26,Female,Large,Married,No,Germany,Manager,Secondary,1778,"Music, Dancing, Sports, Traveling",Ambivert,Entertainment
29,Female,Medium,Single,No,Canada,Developer,Bachelor,4441,"Sports, Photography, Dancing",Introvert,Entertainment
61,Male,Small,Divorced,Yes,France,Teacher,Bachelor,1155,"Music, Traveling, Gaming, Photography",Ambivert,Educational
63,Male,Large,Married,No,France,Designer,PhD,4312,"Gardening, Music",Ambivert,Entertainment
20,Female,Small,Divorced,No,Canada,Sales,Secondary,2897,"Cooking, Art, Sports",Ambivert,Educational
48,Male,Medium,Divorced,No,Japan,Teacher,Secondary,2946,"Gardening, Music, Traveling, Gaming",Introvert,Entertainment
29,Female,Medium,Single,No,Nigeria,Teacher,Secondary,3692,"Cooking, Reading, Sports",Extrovert,Entertainment
27,Female,Large,Single,No,France,Artist,Secondary,3897,"Reading, Gardening",Ambivert,Educational
32,Male,Medium,Single,Yes,United States,Chef,PhD,2208,"Sports, Traveling, Photography, Music",Ambivert,Educational
27,Female,Small,Married,Yes,India,Sales,Bachelor,4061,"Art, Cooking, Music, Reading",Extrovert,Entertainment
41,Male,Medium,Single,No,Canada,Chef,Secondary,3336,"Photography, Dancing, Traveling, Sports",Introvert,Entertainment
65,Female,Small,Single,No,India,Designer,Bachelor,1693,"Gaming, Sports, Traveling, Music",Extrovert,Entertainment
46,Male,Medium,Married,Yes,United States,Chef,Bachelor,2996,"Music, Traveling",Extrovert,Entertainment
52,Male,Medium,Single,No,Brazil,Unemployed,Secondary,4858,"Gaming, Sports, Dancing, Art",Extrovert,Entertainment
41,Male,Large,Married,No,France,Developer,Secondary,5212,"Photography, Sports, Cooking, Reading",Ambivert,Educational
18,Female,Small,Married,Yes,United States,Artist,Secondary,4061,"Music, Dancing, Cooking",Introvert,Entertainment
22,Female,Small,Single,No,France,Designer,Bachelor,1772,"Gaming, Gardening",Introvert,Entertainment
30,Male,Medium,Single,No,Spain,Student,Master,3789,"Gardening, Sports, Photography, Traveling",Extrovert,Educational
29,Male,Small,Single,No,Nigeria,Artist,Secondary,4221,"Traveling, Photography",Introvert,Entertainment
58,Male,Small,Married,No,Poland,Sales,Bachelor,4071,"Gardening, Photography",Ambivert,Educational
58,Male,Medium,Single,Yes,Germany,Unemployed,Bachelor,4142,"Photography, Cooking, Reading, Dancing",Extrovert,Educational
58,Female,Medium,Married,No,Germany,Developer,Secondary,3636,"Photography, Music, Traveling",Ambivert,Entertainment
48,Male,Small,Married,No,Germany,Doctor,Bachelor,3113,"Music, Gardening, Dancing",Introvert,Entertainment
44,Male,Medium,Single,No,United States,Artist,Secondary,2470,"Sports, Traveling",Extrovert,Entertainment
49,Male,Large,Divorced,No,Canada,Teacher,Secondary,922,"Cooking, Gaming",Introvert,Educational
37,Male,Medium,Divorced,No,France,Sales,Bachelor,3608,"Gardening, Gaming, Reading, Traveling",Ambivert,Educational
50,Female,Small,Single,No,India,Student,Secondary,3423,"Reading, Traveling, Gardening, Photography",Introvert,Educational
56,Female,Small,Divorced,No,India,Unemployed,Bachelor,3869,"Reading, Cooking",Ambivert,Educational
54,Female,Small,Single,No,India,Student,Master,1595,"Photography, Sports",Introvert,Educational
47,Male,Medium,Married,Yes,Japan,Chef,Secondary,3974,"Gardening, Reading",Extrovert,Educational
20,Female,Medium,Single,No,India,Sales,Master,5665,"Music, Cooking, Gaming",Ambivert,Entertainment
52,Female,Small,Married,Yes,India,Designer,Secondary,3294,"Art, Music",Ambivert,Entertainment
35,Female,Small,Married,No,Japan,Sales,Bachelor,3126,"Art, Music, Sports",Extrovert,Entertainment
53,Female,Medium,Widowed,No,Brazil,Engineer,Bachelor,3571,"Music, Traveling, Dancing, Art",Extrovert,Entertainment
43,Male,Medium,Widowed,Yes,Spain,Doctor,Bachelor,5639,"Cooking, Traveling, Art",Ambivert,Educational
60,Male,Large,Single,Yes,Brazil,Developer,Master,1972,"Photography, Dancing, Art",Extrovert,Entertainment
34,Female,Small,Married,No,India,Designer,Secondary,3444,"Art, Reading, Gardening",Introvert,Educational
62,Male,Small,Single,No,France,Teacher,Secondary,2240,"Reading, Cooking, Gaming, Music",Ambivert,Educational
58,Male,Medium,Single,Yes,Germany,Engineer,Bachelor,2544,"Sports, Traveling, Cooking, Dancing",Extrovert,Entertainment
33,Male,Small,Single,No,Brazil,Engineer,Bachelor,3140,"Gardening, Dancing, Photography, Gaming",Ambivert,Entertainment
41,Female,Small,Divorced,No,Poland,Artist,Master,4817,"Music, Cooking, Dancing, Reading",Ambivert,Entertainment
43,Male,Medium,Married,No,India,Unemployed,Master,5361,"Art, Gaming, Reading",Extrovert,Educational
54,Female,Medium,Single,Yes,Canada,Manager,Primary,3738,"Gaming, Art",Introvert,Entertainment
51,Male,Small,Widowed,No,United States,Student,Master,2748,"Music, Gaming, Art",Introvert,Educational
58,Female,Medium,Married,No,Spain,Unemployed,Bachelor,6191,"Traveling, Cooking, Gaming, Gardening",Ambivert,Entertainment
35,Male,Medium,Single,Yes,Germany,Unemployed,Bachelor,2687,"Traveling, Cooking",Introvert,Educational
42,Female,Small,Married,No,Spain,Student,Secondary,2515,"Traveling, Dancing",Introvert,Entertainment
38,Male,Large,Married,Yes,United States,Teacher,Master,1070,"Art, Gardening",Ambivert,Educational
61,Male,Small,Married,No,France,Student,Bachelor,4875,"Gaming, Gardening, Photography, Cooking",Ambivert,Educational
32,Female,Large,Married,Yes,India,Student,Secondary,4362,"Music, Photography",Ambivert,Entertainment
46,Male,Large,Married,No,Nigeria,Chef,Secondary,6101,"Reading, Art, Cooking",Ambivert,Educational
23,Male,Medium,Single,No,United States,Teacher,Bachelor,1533,"Reading, Photography",Ambivert,Educational
58,Female,Small,Married,No,Canada,Artist,Master,4950,"Sports, Cooking",Ambivert,Educational
36,Female,Large,Single,Yes,United States,Designer,Bachelor,3284,"Sports, Cooking, Music",Introvert,Entertainment
34,Male,Medium,Single,No,Poland,Engineer,Master,4167,"Sports, Traveling, Photography, Cooking",Ambivert,Educational
45,Male,Small,Single,No,Canada,Unemployed,Secondary,1223,"Dancing, Music",Extrovert,Entertainment
41,Male,Medium,Married,No,France,Manager,Secondary,4962,"Dancing, Cooking",Ambivert,Entertainment
58,Male,Medium,Single,Yes,Nigeria,Engineer,Bachelor,4144,"Cooking, Photography",Introvert,Educational
43,Male,Large,Single,Yes,India,Artist,Secondary,3153,"Traveling, Gaming",Extrovert,Entertainment
42,Female,Medium,Single,No,Canada,Manager,Secondary,3974,"Art, Traveling",Ambivert,Educational
23,Female,Large,Divorced,No,Japan,Designer,Bachelor,2281,"Gaming, Sports, Cooking",Ambivert,Entertainment
19,Female,Medium,Single,Yes,Brazil,Developer,Secondary,2505,"Dancing, Photography, Sports, Gaming",Introvert,Entertainment
37,Female,Medium,Single,No,Germany,Manager,Secondary,2644,"Sports, Traveling, Cooking, Gardening",Ambivert,Entertainment
65,Male,Medium,Single,No,Germany,Developer,Secondary,977,"Traveling, Gardening",Introvert,Educational
62,Male,Large,Married,No,France,Unemployed,Secondary,4234,"Art, Photography, Gaming",Ambivert,Educational
48,Female,Large,Single,No,France,Artist,Secondary,4630,"Gardening, Photography, Traveling",Extrovert,Entertainment
48,Male,Large,Single,Yes,Brazil,Manager,Secondary,2358,"Photography, Music, Reading",Ambivert,Educational
36,Female,Large,Divorced,No,Nigeria,Doctor,Master,3618,"Music, Reading, Sports, Gaming",Introvert,Educational
26,Female,Medium,Married,No,Spain,Manager,Bachelor,2881,"Art, Gaming, Photography, Music",Introvert,Entertainment
18,Male,Small,Married,Yes,Japan,Artist,Bachelor,3594,"Cooking, Dancing",Extrovert,Entertainment
34,Male,Large,Married,No,India,Chef,Secondary,2447,"Music, Photography, Gardening, Gaming",Extrovert,Entertainment
33,Male,Small,Divorced,Yes,United States,Doctor,Secondary,2140,"Cooking, Art, Dancing, Music",Introvert,Entertainment
27,Female,Small,Divorced,No,Germany,Developer,Master,4462,"Reading, Cooking",Ambivert,Educational
30,Male,Medium,Married,Yes,United States,Chef,Bachelor,3123,"Gaming, Cooking, Sports, Reading",Ambivert,Educational
19,Male,Medium,Married,Yes,Nigeria,Teacher,Master,5627,"Cooking, Art, Gaming",Extrovert,Educational
47,Female,Medium,Divorced,Yes,Canada,Engineer,Secondary,3256,"Reading, Sports",Extrovert,Educational
62,Female,Small,Divorced,No,Japan,Designer,Bachelor,2089,"Sports, Music, Cooking, Dancing",Ambivert,Entertainment
51,Female,Small,Single,Yes,United States,Developer,Bachelor,4672,"Photography, Art, Dancing",Introvert,Entertainment
39,Male,Small,Widowed,Yes,Japan,Developer,Secondary,3957,"Reading, Sports, Music",Extrovert,Entertainment
38,Female,Medium,Married,No,Japan,Unemployed,Master,4072,"Sports, Dancing, Photography, Traveling",Extrovert,Entertainment
32,Female,Small,Married,No,India,Doctor,Secondary,4629,"Gaming, Cooking",Ambivert,Educational
24,Female,Medium,Single,Yes,Poland,Teacher,Bachelor,2417,"Cooking, Sports",Ambivert,Educational
46,Female,Small,Single,Yes,Spain,Sales,Secondary,3047,"Gaming, Traveling, Reading",Introvert,Educational
45,Male,Medium,Married,Yes,France,Developer,Bachelor,2994,"Dancing, Photography, Art, Gaming",Ambivert,Entertainment
18,Male,Medium,Married,No,Germany,Student,Master,1651,"Music, Cooking, Gardening, Reading",Extrovert,Educational
37,Female,Medium,Single,Yes,Japan,Developer,Bachelor,2884,"Gardening, Art, Dancing",Introvert,Entertainment
31,Female,Large,Married,No,Brazil,Teacher,PhD,4804,"Dancing, Gardening, Cooking, Traveling",Extrovert,Entertainment
26,Female,Small,Single,No,Canada,Unemployed,Secondary,3485,"Art, Traveling, Reading, Gaming",Introvert,Educational
51,Male,Medium,Married,Yes,India,Manager,Master,1585,"Traveling, Sports, Art, Photography",Introvert,Educational
43,Female,Medium,Married,Yes,Poland,Unemployed,Bachelor,1333,"Sports, Dancing, Traveling",Ambivert,Entertainment
48,Male,Small,Married,Yes,Nigeria,Artist,Master,5198,"Traveling, Dancing",Introvert,Educational
52,Female,Large,Single,No,India,Chef,Bachelor,3092,"Gardening, Art, Cooking",Ambivert,Educational
65,Female,Large,Single,No,France,Sales,Bachelor,2423,"Music, Dancing, Cooking",Ambivert,Entertainment
56,Male,Medium,Single,Yes,Spain,Developer,Bachelor,2871,"Sports, Art, Music",Ambivert,Entertainment
47,Female,Large,Married,No,India,Student,Master,1427,"Dancing, Music",Extrovert,Entertainment
60,Male,Medium,Divorced,Yes,Poland,Doctor,Master,4908,"Sports, Gardening, Cooking",Ambivert,Educational
40,Male,Medium,Married,Yes,Germany,Artist,Bachelor,2728,"Reading, Dancing, Sports, Photography",Introvert,Educational
65,Female,Small,Married,Yes,United States,Teacher,Bachelor,4841,"Gardening, Reading, Art",Extrovert,Educational
54,Male,Small,Single,Yes,Spain,Unemployed,Bachelor,3262,"Reading, Gaming, Dancing",Introvert,Educational
49,Male,Small,Single,No,France,Unemployed,Secondary,4915,"Sports, Art, Photography, Cooking",Introvert,Entertainment
61,Male,Medium,Divorced,No,Germany,Unemployed,Primary,3508,"Cooking, Art, Gaming",Extrovert,Entertainment
42,Female,Medium,Married,Yes,Spain,Teacher,Bachelor,4224,"Art, Reading",Introvert,Educational
52,Female,Small,Single,No,Canada,Teacher,Bachelor,4063,"Traveling, Dancing, Sports, Photography",Ambivert,Entertainment
31,Male,Medium,Married,Yes,Germany,Manager,Bachelor,3948,"Photography, Gardening",Introvert,Educational
64,Male,Small,Married,No,Brazil,Chef,Bachelor,3618,"Cooking, Dancing",Ambivert,Entertainment
47,Female,Medium,Single,Yes,Nigeria,Chef,Secondary,2921,"Sports, Photography",Ambivert,Educational
55,Male,Small,Single,No,United States,Student,Secondary,5499,"Cooking, Art, Music, Gaming",Ambivert,Entertainment
40,Male,Medium,Married,Yes,Germany,Chef,Secondary,2112,"Reading, Music, Sports",Ambivert,Educational
59,Male,Medium,Single,No,India,Student,Secondary,3205,"Sports, Photography, Gaming",Introvert,Educational
21,Male,Medium,Single,Yes,Japan,Teacher,Bachelor,3218,"Reading, Sports, Traveling, Cooking",Introvert,Educational
23,Female,Small,Married,Yes,Spain,Developer,Master,3683,"Cooking, Gardening, Art, Music",Extrovert,Entertainment
42,Male,Medium,Widowed,No,Nigeria,Sales,Master,2685,"Art, Gaming",Extrovert,Educational
53,Female,Large,Single,No,Poland,Doctor,Secondary,3578,"Traveling, Music",Extrovert,Entertainment
56,Female,Small,Single,No,India,Student,Master,2997,"Art, Photography, Traveling, Gaming",Ambivert,Educational
39,Male,Medium,Married,No,Spain,Doctor,Bachelor,1302,"Sports, Art, Traveling, Dancing",Ambivert,Entertainment
49,Female,Small,Single,Yes,Spain,Unemployed,Secondary,3211,"Photography, Gardening",Ambivert,Educational
44,Male,Small,Divorced,Yes,Poland,Teacher,Bachelor,1879,"Gaming, Gardening, Photography",Ambivert,Educational
64,Female,Medium,Married,No,India,Teacher,PhD,1119,"Sports, Music, Reading",Introvert,Educational
49,Female,Small,Single,No,United States,Developer,Secondary,3364,"Gaming, Reading, Dancing",Ambivert,Educational
38,Female,Medium,Married,Yes,Japan,Sales,Bachelor,3785,"Music, Gardening, Dancing",Introvert,Entertainment
64,Male,Large,Single,Yes,Germany,Manager,Secondary,3832,"Sports, Photography, Dancing, Reading",Ambivert,Educational
23,Female,Small,Married,No,Poland,Unemployed,Secondary,3881,"Traveling, Music, Reading, Sports",Ambivert,Entertainment
65,Female,Small,Divorced,No,India,Designer,Secondary,881,"Sports, Photography, Cooking",Ambivert,Educational
25,Female,Large,Single,No,Nigeria,Developer,Primary,1567,"Dancing, Gaming, Traveling, Photography",Ambivert,Entertainment
31,Female,Medium,Single,Yes,Nigeria,Chef,Bachelor,5568,"Cooking, Gardening, Music, Gaming",Extrovert,Entertainment
57,Male,Large,Divorced,Yes,Spain,Chef,Secondary,1943,"Photography, Reading, Dancing",Extrovert,Entertainment
53,Female,Medium,Married,Yes,Canada,Doctor,Bachelor,3933,"Gaming, Music, Gardening",Extrovert,Entertainment
64,Female,Medium,Single,Yes,Brazil,Manager,Master,2376,"Reading, Cooking, Dancing",Extrovert,Educational
53,Female,Large,Single,Yes,Poland,Unemployed,Master,3296,"Dancing, Music, Gaming, Traveling",Ambivert,Entertainment
48,Female,Small,Single,No,Poland,Chef,Secondary,2440,"Art, Gaming, Cooking, Music",Ambivert,Entertainment
34,Female,Large,Married,No,Brazil,Engineer,Secondary,3874,"Art, Cooking, Photography, Dancing",Ambivert,Entertainment
18,Male,Medium,Single,No,Japan,Teacher,Bachelor,3364,"Art, Music",Extrovert,Entertainment
23,Female,Large,Single,Yes,Spain,Teacher,Secondary,2662,"Dancing, Gardening, Reading",Ambivert,Entertainment
32,Female,Small,Single,No,United States,Sales,Secondary,1940,"Photography, Sports, Dancing, Gaming",Ambivert,Entertainment
19,Female,Medium,Married,No,Germany,Chef,Bachelor,3521,"Cooking, Gardening",Extrovert,Entertainment
42,Male,Small,Divorced,Yes,Canada,Sales,Bachelor,1745,"Gaming, Reading, Music",Ambivert,Educational
55,Male,Large,Married,No,Japan,Teacher,Secondary,3713,"Cooking, Music, Dancing",Introvert,Entertainment
64,Male,Small,Married,No,France,Developer,Secondary,6352,"Reading, Traveling",Ambivert,Educational
41,Male,Small,Married,Yes,United States,Teacher,Master,4820,"Music, Reading, Cooking, Art",Ambivert,Educational
60,Female,Large,Single,Yes,Nigeria,Designer,Master,4062,"Music, Art",Ambivert,Educational
65,Male,Medium,Single,No,Japan,Student,Bachelor,3097,"Art, Sports, Reading, Traveling",Extrovert,Educational
59,Male,Medium,Single,No,France,Developer,Bachelor,873,"Music, Gardening",Ambivert,Entertainment
40,Female,Small,Single,Yes,Nigeria,Student,Bachelor,1613,"Sports, Photography, Gardening",Extrovert,Entertainment
33,Male,Medium,Widowed,Yes,Japan,Sales,Secondary,4739,"Gardening, Photography, Reading, Cooking",Ambivert,Educational
64,Male,Small,Single,Yes,Spain,Chef,Master,2252,"Cooking, Reading, Art, Traveling",Introvert,Educational
29,Male,Medium,Divorced,No,Japan,Student,Secondary,2361,"Dancing, Art",Ambivert,Entertainment
37,Female,Medium,Single,No,Canada,Doctor,Bachelor,3001,"Art, Gardening, Dancing, Gaming",Ambivert,Entertainment
21,Male,Medium,Married,No,Nigeria,Designer,Secondary,1926,"Art, Dancing, Music",Extrovert,Entertainment
56,Male,Small,Single,No,Spain,Teacher,Bachelor,1728,"Photography, Art, Dancing, Traveling",Ambivert,Entertainment
49,Female,Small,Single,Yes,Nigeria,Engineer,Master,3139,"Sports, Gaming",Ambivert,Educational
22,Male,Medium,Single,Yes,Canada,Teacher,Bachelor,2130,"Cooking, Gardening",Ambivert,Entertainment
28,Male,Small,Married,Yes,Poland,Doctor,Bachelor,2311,"Gardening, Reading, Traveling, Art",Extrovert,Educational
44,Female,Small,Married,No,Japan,Teacher,Bachelor,2263,"Gaming, Music, Photography",Introvert,Entertainment
43,Female,Medium,Married,No,India,Engineer,Bachelor,3827,"Dancing, Traveling, Gaming, Gardening",Introvert,Entertainment
56,Female,Medium,Divorced,Yes,Spain,Student,Bachelor,2921,"Cooking, Gaming, Art",Ambivert,Educational
30,Male,Medium,Married,No,Nigeria,Manager,Bachelor,2986,"Dancing, Traveling, Music, Cooking",Ambivert,Entertainment
62,Male,Medium,Widowed,No,France,Doctor,Bachelor,3916,"Dancing, Gardening, Cooking",Ambivert,Entertainment
39,Female,Large,Single,No,Germany,Artist,Bachelor,3030,"Gaming, Sports",Introvert,Educational
